id,created_at,text
1219628803091320834,Tue Jan 21 14:32:20 +0000 2020,RT @igfenoll: Ciudadanos es lo peor que le ha pasado a este país en muchos años. https://t.co/XslIB0TVrw,
1219628807256203264,Tue Jan 21 14:32:21 +0000 2020,@BudinoMiguel @Gloria68935258 @tocamgar @Alvisepf @PSOE @PODEMOS No tiene ventaja respecto a los de su condición. T… https://t.co/B4I7KP2PSH,
1219628808371888137,Tue Jan 21 14:32:22 +0000 2020,RT @InesArrimadas: El PSOE vuelve a hacer lo que prometió que nunca haría: pacta con Bildu los presupuestos de Navarra. En lugar de llegar…,
1219628809399554048,Tue Jan 21 14:32:22 +0000 2020,RT @LuisPerezCam7: Y vuelta el PP al trigo progre!!!! si es que no fallan!!!!🤬🤬🤬🤬🤬 https://t.co/RqdklXBrBe,
1219628813736386564,Tue Jan 21 14:32:23 +0000 2020,RT @FAM63: Aqui @pablocasado_ comerciando con la sangre y el dolor de las víctimas de ETA. Ademas de ser un fraude como politico licenciad…,
1219628814722125825,Tue Jan 21 14:32:23 +0000 2020,RT @pablocasado_: Es una ofensa para las víctimas del terrorismo que el PSOE pacte los presupuestos en Navarra con Bildu los mismos que ni…,
1219628815468634119,Tue Jan 21 14:32:23 +0000 2020,RT @JaiLwolf: @PabloIglesias Señor @PabloIglesias también existe emergencia en las cárceles españolas y ustedes lo saben bien. Ayer otros 3…,
1219628817972678661,Tue Jan 21 14:32:24 +0000 2020,RT @vezapurpura: https://t.co/G4MKxxC06m4 Dimisiones? Qué el PSOE Andaluz debería estar entero sentado en el banquillo .38 años ROBANDO a…,
1219628819981701120,Tue Jan 21 14:32:24 +0000 2020,RT @AdrianBelaza: Hoy el PSOE ha acordado un pacto de presupuestos con los proetarras de Bildu en Navarra. Ahora a parte de enseñar juegos…,
1219628823144210432,Tue Jan 21 14:32:25 +0000 2020,RT @pablocasado_: Es una ofensa para las víctimas del terrorismo que el PSOE pacte los presupuestos en Navarra con Bildu los mismos que ni…,
1219628823668580352,Tue Jan 21 14:32:25 +0000 2020,RT @inma_ben: @PODEMOS @PSOE ..siempre con la palabra IGUALDAD en la boca. Si realmente defendieran esocondenarían a todas estas mujeres q…,
1219628824754892800,Tue Jan 21 14:32:26 +0000 2020,RT @MarleneDiafano: La mesa de negociación PSOE-ERC va dando sus frutos pronto veremos algún regalito para los vascos.Al gobierno comunis…,
1219628834275889153,Tue Jan 21 14:32:28 +0000 2020,RT @soniagaya1: Veróncia Pérez ve "absolutamente irrelevante" la dimisión de "tres de 73 miembros" https://t.co/ol8qTAJdTH vía @epandalucia,
1219628836100476928,Tue Jan 21 14:32:28 +0000 2020,RT @JulioAl18175505: @Sergio66800069 @Ainosocialista @PSOE No mientas fachita  no te valdrá de nada 😂😂 el milagro económico del PP esta en…,
